Date,Exercise,Category,Weight,Weight Unit,Reps,Distance,Distance Unit,Time
2026-06-11,Leg Extension Machine,Legs,25.0,kgs,8,,,
2026-06-11,Leg Extension Machine,Legs,25.0,kgs,8,,,
2026-06-11,Leg Extension Machine,Legs,25.0,kgs,8,,,
2026-06-11,Standing Calf Raise Machine,Legs,87.5,kgs,5,,,
2026-06-11,Standing Calf Raise Machine,Legs,87.5,kgs,5,,,
2026-06-11,Standing Calf Raise Machine,Legs,87.5,kgs,5,,,
2026-06-13,Seated Leg Curl Machine,Legs,25.0,kgs,7,,,
2026-06-13,Seated Leg Curl Machine,Legs,25.0,kgs,7,,,
2026-06-13,Seated Leg Curl Machine,Legs,25.0,kgs,7,,,
2026-06-13,Standing Calf Raise Machine,Legs,90.0,kgs,7,,,
2026-06-13,Standing Calf Raise Machine,Legs,90.0,kgs,7,,,
2026-06-13,Standing Calf Raise Machine,Legs,90.0,kgs,7,,,
2026-06-24,Dumbbell Curl,Biceps,15.8,kgs,10,,,
2026-06-24,Dumbbell Curl,Biceps,15.8,kgs,10,,,
2026-06-24,Dumbbell Curl,Biceps,15.8,kgs,10,,,
2026-06-24,Dumbbell Overhead Triceps Extension,Triceps,10.2,kgs,12,,,
2026-06-24,Dumbbell Overhead Triceps Extension,Triceps,10.2,kgs,12,,,
2026-06-24,Dumbbell Overhead Triceps Extension,Triceps,10.2,kgs,12,,,
2026-06-24,Seated Dumbbell Press,Shoulders,15.8,kgs,12,,,
2026-06-24,Seated Dumbbell Press,Shoulders,15.8,kgs,12,,,
2026-06-24,Seated Dumbbell Press,Shoulders,15.8,kgs,12,,,
2026-06-24,Flat Dumbbell Bench Press,Chest,20.4,kgs,10,,,
2026-06-24,Flat Dumbbell Bench Press,Chest,20.4,kgs,10,,,
2026-06-24,Flat Dumbbell Bench Press,Chest,20.4,kgs,12,,,
2026-06-24,Dumbbell Row,Back,20.4,kgs,12,,,
2026-06-24,Dumbbell Row,Back,20.4,kgs,12,,,
2026-06-24,Dumbbell Row,Back,20.4,kgs,12,,,
2026-06-27,Tricep extension,Triceps,35.0,kgs,10,,,
2026-06-27,Tricep extension,Triceps,35.0,kgs,10,,,
2026-06-27,Tricep extension,Triceps,35.0,kgs,10,,,
2026-06-27,Hip Abduction (Open),Legs,28.0,kgs,10,,,
2026-06-27,Hip Abduction (Open),Legs,28.0,kgs,12,,,
2026-06-27,Hip Abduction (Open),Legs,28.0,kgs,12,,,
2026-06-27,Hip Adduction,Legs,21.0,kgs,12,,,
2026-06-27,Hip Adduction,Legs,21.0,kgs,12,,,
2026-06-27,Hip Adduction,Legs,21.0,kgs,12,,,
2026-06-27,Glute Press,Legs,37.5,kgs,20,,,
2026-06-27,Glute Press,Legs,37.5,kgs,24,,,
2026-06-27,Glute Press,Legs,37.5,kgs,24,,,
2026-06-27,Standing Calf Raise Machine,Legs,120.0,kgs,12,,,
2026-06-27,Standing Calf Raise Machine,Legs,120.0,kgs,12,,,
2026-06-27,Standing Calf Raise Machine,Legs,120.0,kgs,12,,,
2026-06-27,Leg Extension Machine,Legs,35.0,kgs,12,,,
2026-06-27,Leg Extension Machine,Legs,35.0,kgs,12,,,
2026-06-27,Leg Extension Machine,Legs,35.0,kgs,12,,,
2026-06-30,Dumbbell Curl,Biceps,15.8,kgs,12,,,
2026-06-30,Dumbbell Curl,Biceps,15.8,kgs,12,,,
2026-06-30,Dumbbell Curl,Biceps,15.8,kgs,12,,,
2026-06-30,Arnold Dumbbell Press,Shoulders,15.8,kgs,12,,,
2026-06-30,Arnold Dumbbell Press,Shoulders,15.8,kgs,12,,,
2026-06-30,Arnold Dumbbell Press,Shoulders,15.8,kgs,12,,,
2026-06-30,Dumbbell Overhead Triceps Extension,Triceps,11.3,kgs,10,,,
2026-06-30,Dumbbell Overhead Triceps Extension,Triceps,11.3,kgs,10,,,
2026-06-30,Dumbbell Overhead Triceps Extension,Triceps,11.3,kgs,10,,,
2026-06-30,Flat Dumbbell Bench Press,Chest,20.4,kgs,11,,,
2026-06-30,Flat Dumbbell Bench Press,Chest,20.4,kgs,11,,,
2026-06-30,Flat Dumbbell Bench Press,Chest,20.4,kgs,12,,,
2026-06-30,Dumbbell Row,Back,22.6,kgs,10,,,
2026-06-30,Dumbbell Row,Back,22.6,kgs,10,,,
